Identifier,Database source,Country,ISO,Reg,Inc,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social contributions, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, and capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,..,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
ABW1986,IMF Country Report,Aruba,ABW,3,4,1986,,,,,,,0.267,0.267,0.26,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,0.26,,,,,,,,,,,,,,,
ABW1987,IMF Country Report,Aruba,ABW,3,4,1987,,,,,,,0.310996706903656,0.310996706903656,0.302874835501253,0.302874835501253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00812187140240277,,0.302874835501253,,,,,,,,,,,,,,,
ABW1988,IMF Country Report,Aruba,ABW,3,4,1988,,,,,,,0.226009425000274,0.226009425000274,0.220170161949588,0.220170161949588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0058392630506861,,0.220170161949588,,,,,,,,,,,,,,,
ABW1989,IMF Country Report,Aruba,ABW,3,4,1989,,,,,,,0.220967657871527,0.220967657871527,0.216134656670091,0.216134656670091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00483300120143577,,0.216134656670091,,,,,,,,,,,,,,,
ABW1990,IMF Country Report,Aruba,ABW,3,4,1990,,,,,,,0.266734602006232,0.266734602006232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1991,IMF Country Report,Aruba,ABW,3,4,1991,,,,,,,0.229019859064702,0.229019859064702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1992,IMF Country Report,Aruba,ABW,3,4,1992,,,,,,,0.261130536130536,0.261130536130536,0.250582750582751,0.250582750582751,,,,0.197027972027972,0,,0.197027972027972,,,0.110081585081585,0.110081585081585,0.0904428904428904,0,0.0904428904428904,0.0704545454545455,0.019988344988345,0,0.019988344988345,,0.00594405594405594,0.0869463869463869,0,0.0869463869463869,0.0414918414918415,0,0.0414918414918415,0.0432400932400932,0.037004662004662,,0.00844988344988345,0.043006993006993,,,0,0.0105477855477855,,0.250582750582751,0.197027972027972,0.0535547785547786,0.110081585081585,0.0904428904428904,0.0704545454545455,0.019988344988345,0.0869463869463869,0.0414918414918415,0.0432400932400932,,,,,,
ABW1993,IMF Country Report,Aruba,ABW,3,4,1993,,,,,,,0.250696235172769,0.250696235172769,0.242805569881382,0.242805569881382,,,,0.207220216606498,0,,0.207220216606498,,,0.114130995358432,0.114130995358432,0.0928313563692625,0,0.0928313563692625,0.0701908200103146,0.0226405363589479,0,0.0226405363589479,,0.0072717895822589,0.093089221248066,0,0.093089221248066,0.0395048994326973,0,0.0395048994326973,0.0460030943785456,0.0400206291903043,,0.0135636926250645,0.0276946879834966,,,0,0.00789066529138731,,0.242805569881382,0.207220216606498,0.035585353274884,0.114130995358432,0.0928313563692625,0.0701908200103146,0.0226405363589479,0.093089221248066,0.0395048994326973,0.0460030943785456,,,,,,
ABW1994,IMF Country Report,Aruba,ABW,3,4,1994,,,,,,,0.238295964125561,0.238295964125561,0.229192825112108,0.229192825112108,,,,0.197578475336323,0,,0.197578475336323,,,0.104618834080717,0.104618834080717,0.086322869955157,0,0.086322869955157,0.0630044843049327,0.0233183856502242,0,0.0233183856502242,,0.00538116591928251,0.0930044843049327,0,0.0930044843049327,0.0389237668161435,0,0.0389237668161435,0.0465470852017937,0.0400896860986547,,0.00753363228699552,0.0225112107623318,,,0,0.00910313901345292,,0.229192825112108,0.197578475336323,0.0316143497757848,0.104618834080717,0.086322869955157,0.0630044843049327,0.0233183856502242,0.0930044843049327,0.0389237668161435,0.0465470852017937,,,,,,
ABW1995,IMF Country Report,Aruba,ABW,3,4,1995,,,,,,,0.25494923857868,0.25494923857868,0.243485617597293,0.243485617597293,,,,0.193993231810491,0,,0.193993231810491,,,0.109433164128596,0.109433164128596,0.0892978003384095,0,0.0892978003384095,0.0661590524534687,0.0231387478849408,0,0.0231387478849408,,0.00752961082910321,0.0845600676818951,0,0.0845600676818951,0.0398900169204738,0,0.0398900169204738,0.0373942470389171,0.0327834179357022,,0.00727580372250423,0.0380287648054146,,,0,0.0114636209813875,,0.243485617597293,0.193993231810491,0.049492385786802,0.109433164128596,0.0892978003384095,0.0661590524534687,0.0231387478849408,0.0845600676818951,0.0398900169204738,0.0373942470389171,,,,,,
ABW1996,IMF Country Report,Aruba,ABW,3,4,1996,,,,,,,0.327125506072874,0.261255060728745,0.31582995951417,0.249797570850202,,,0.264898785425101,0.199028340080972,0,0.264898785425101,0.199028340080972,0.178137651821862,0.178137651821862,0.112267206477733,0.112267206477733,0.0904048582995951,0,0.0904048582995951,0.0653441295546559,0.0250607287449393,0,0.0250607287449393,,0.00781376518218624,0.0867611336032389,0,0.0867611336032389,0.0373684210526316,0,0.0373684210526316,0.0417408906882591,0.0353441295546559,,0.00765182186234818,0.0396356275303644,,,0.0658704453441295,0.0112955465587045,,0.249797570850202,0.199028340080972,0.0507692307692308,0.112267206477733,0.0904048582995951,0.0653441295546559,0.0250607287449393,0.0867611336032389,0.0373684210526316,0.0417408906882591,,,,,,
