,"This sheet can be used to alter whether central or general government data is used in the 'merged' sheet for a given country.  Where the column “general” contains a 1, general government data is used, and the tables update automatically when the value is changed.",,,,,,,"(NB this feature is only availabe in ""…CentralGeneralMergedFull"")"
ISO,Country,General,Notes,,System of National Accounting,Flag =1 if SNA2008 or ESA2010,Base Year,
ABW,Aruba,0,,,-,0,-,
ADO,Andorra,0,,,-,0,-,
AFG,Afghanistan,0,,,SNA 1993,0,2002,
AGO,Angola,0,,,ESA 1995,0,2002,
AIA,Anguilla,0,,,-,-,-,
ALB,Albania,1,,,SNA 1993,0,1996,
ANT,Netherlands Antilles,1,,,-,0,-,
ARE,United Arab Emirates,0,,,SNA 1993,0,2007,
ARG,Argentina,1,"We lose some years of revenue data, but gain accuracy and a longer tax series",,SNA 2008,1,2004,
ARM,Armenia,1,Very similar,,SNA 1993,0,2005,
ATG,Antigua and Barbuda,0,,,SNA 1993,0,2006,
AUS,Australia,1,,,SNA 2008,1,2012/13,
AUT,Austria,1,,,ESA 2010,1,2010,
AZE,Azerbaijan,0,,,SNA 1993,0,2003,
BDI,Burundi,0,,,SNA 1993,0,2005,
BEL,Belgium,1,,,ESA 2010,1,2012,
BEN,Benin,0,,,SNA 1993,0,2000,
BFA,Burkina Faso,0,,,SNA 1993,0,1999,
BGD,Bangladesh,0,,,SNA 1993,0,2005,
BGR,Bulgaria,1,"More years, slightly higher data",,ESA 2010,1,2010,
BHR,Bahrain,0,,,SNA 2008,1,2010,
BHS,"Bahamas, The",0,,,SNA 1993,0,2006,
BIH,Bosnia and Herzegovina,1,,,ESA 1995,0,2010,
BLR,Belarus,1,,,ESA 1995,0,2009,
BLZ,Belize,0,,,SNA 1993,0,2000,
BMU,Bermuda,0,,,-,0,-,
BOL,Bolivia,1,"By using general we get more accurate tax and revenue data, but we do lose the total resource revenue category (taxes are exclusive of resource revenue in both cases)",,Other,0,1990,
BRA,Brazil,1,"We lose a few years, but the data is more accurate, as it is much higher",,SNA 2008,1,1995,
BRB,Barbados,0,,,SNA 1993,0,1974,
BRN,Brunei Darussalam,0,,,SNA 1993,0,2000,
BTN,Bhutan,0,,,Other,0,2000,
BWA,Botswana,0,,,SNA 1993,0,2006,
CAF,Central African Republic,0,,,SNA 1993,0,2005,
CAN,Canada,1,,,SNA 2008,1,2007,
CHE,Switzerland,1,,,ESA 2010,1,2013,
CHI,Channel Islands,0,,,-,0,-,
CHL,Chile,0,"Data is very very similar, but more complete for central in the 1970s",,SNA 2008,1,2008,
CHN,China,1,"Much more data, and much higher/more accurate",,SNA 2008,1,1990,
CIV,Cote d'Ivoire,0,,,SNA 1993,0,2009,
CMR,Cameroon,0,,,SNA 1993,0,1990,
COG,"Congo, Rep.",0,,,SNA 1993,0,1990,
COL,Colombia,1,"Equivalent time coverage, but General Government data is much higher",,Other,0,2005,
COM,Comoros,0,,,Other,0,2000,
CPV,Cape Verde,0,,,SNA 1993,0,2007,
CRI,Costa Rica,0,"Data is very similar, but time coverage is far superior for Central Govt",,SNA 1993,0,1991,
CUB,Cuba,1,,,-,0,-,
CYM,Cayman Islands,0,,,-,0,-,
CYP,Cyprus,0,,,ESA 2010,1,2005,
CZE,Czech Republic,1,,,ESA 2010,1,2005,
DEU,Germany,1,,,ESA 2010,1,2010,
DJI,Djibouti,0,,,Other,0,1990,
DMA,Dominica,0,,,SNA 1993,0,2006,
DNK,Denmark,1,,,ESA 2010,1,2010,
DOM,Dominican Republic,0,,,SNA 2008,1,2007,
DZA,Algeria,0,,,SNA 1993,0,2001,
ECU,Ecuador,0,"General data is slightly higher, but Central offer twice as much time coverage and greater consistency over time in coverage",,SNA 1993,0,2007,
EGY,"Egypt, Arab Rep.",0,"Data is similar, while Central offers dramatically longer time coverage",,SNA 1993,0,2011/12,
ERI,Eritrea,0,,,SNA 1993,0,2000,
ESP,Spain,1,,,ESA 2010,1,2010,
EST,Estonia,1,"Data significantly higher, with similar data coverage",,ESA 2010,1,2010,
ETH,Ethiopia,1,Data listed as central government is inclided as general government.,,SNA 1993,0,2010/11,
FIN,Finland,1,,,ESA 2010,1,2000,
FJI,Fiji,0,,,SNA 1993/2008,1,2008,
FRA,France,1,,,ESA 2010,1,2010,
FSM,"Micronesia, Fed. Sts.",1,,,Other,0,2004,
GAB,Gabon,0,,,SNA 1993,0,2001,
GBR,United Kingdom,1,,,ESA 2010,1,2011,
GEO,Georgia,1,,,SNA 1993,0,2000,
GHA,Ghana,0,,,SNA 1993,0,2006,
GIN,Guinea,0,,,SNA 1993,0,2003,
GMB,"Gambia, The",0,,,SNA 1993,0,2004,
GNB,Guinea-Bissau,0,,,SNA 1993,0,2005,
GNQ,Equatorial Guinea,0,,,SNA 1993,0,2006,
GRC,Greece,1,,,ESA2010,1,2010,
GRD,Grenada,0,,,SNA 1993,0,2006,
GTM,Guatemala,0,,,SNA 1993,0,2001,
GUY,Guyana,0,"Central is slightly lower, but offers longer coverage in the tax series",,SNA 1993,0,2006,
HKG,"Hong Kong SAR, China",1,Much better coverage and data,,SNA 2008,1,2012,
HND,Honduras,1,"General is a bit higher, while data coverage is slightly lower.  Could go either way.",,SNA 1993,0,2000,
HRV,Croatia,1,"Two additional years, much higher values, and generally data that appears more accurate",,ESA 2010,1,2005,
HTI,Haiti,0,,,SNA 2008,1,1986/87,
HUN,Hungary,1,,,ESA 1995,0,2005,
IDN,Indonesia,0,,,SNA 2008,1,2010,
IND,India,1,,,SNA 1993,0,2011/12,
IRL,Ireland,1,,,ESA 2010,1,2012,
IRN,"Iran, Islamic Rep.",0,"There appear to be major problems with General data, so opt for Central",,SNA 1993,0,2004/05,
IRQ,Iraq,1,,,Other,1,2007,
ISL,Iceland,1,,,ESA 2010,1,2005,
ISR,Israel,1,,,SNA 2008,1,2010,
ITA,Italy,1,,,ESA 2010,1,2010,
JAM,Jamaica,0,,,SNA 1993,0,2007,
JOR,Jordan,0,,,Other,0,1994,
JPN,Japan,1,,,SNA 1993,0,2005,
KAZ,Kazakhstan,1,"Similar time series, but General data is more complete, higher and deals more effectively with resource revenue",,Other,0,2007,
KEN,Kenya,0,,,SNA 2008,1,2009,
KGZ,Kyrgyz Republic,1,General data is slightly higher and more complete,,SNA 1993,0,1995,
KHM,Cambodia,0,,,SNA 1993,0,2000,
KIR,Kiribati,0,,,Other,0,2006,
KNA,St. Kitts and Nevis,0,,,SNA 1993,0,2006,
KOR,"Korea, Rep.",1,"Lose a couple of years in the early 1970s, but General data is higher and more accurate",,SNA 2008,1,2010,
KSV,Kosovo,0,,,Other,0,2013,
KWT,Kuwait,0,,,SNA 1993,0,2010,
LAO,Lao PDR,1,,,SNA 1993,0,2002,
LBN,Lebanon,0,,,SNA 2008,1,2000,
LBR,Liberia,0,,,SNA 1993,0,1992,
LBY,Libya,1,"General data has a longer time series, and excludes resource revenue from tax categories",,SNA 1993,0,2003,
LCA,St. Lucia,0,,,SNA 1993,0,2006,
LIE,Liechtenstein,0,,,-,0,-,
LKA,Sri Lanka,0,,,SNA 1993,0,2002,
LSO,Lesotho,0,,,Other,0,2004,
LTU,Lithuania,1,"General data is slightly higher, with similar coverage",,ESA 1995,0,2010,
LUX,Luxembourg,0,,,ESA 2010,1,2005,
