Identifier,Database source,Country,ISO,Reg,Inc,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue excluding grants including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social security, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, & capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
AFG2006,GFS,Afghanistan,AFG,6,1,2006,,,,,,,0.302234129611905,0.301200779603085,0.0935596572753798,0.0925263072665601,,,0.0722855730053757,0.071252222996556,0,0.0722855730053757,0.071252222996556,0.0139151632221666,0.0139151632221666,0.0128818132133469,0.0128818132133469,0.0126648776665115,0,0.0126648776665115,0.00488897306957148,0.00627991105122073,0,0.00627991105122073,0,0.000216935546835465,0.0583704162966251,0,0.0583704162966251,0.0177275842425329,,,0.0336596234424566,0.0335889791421474,0.000070644300309123,0.00698320861163563,,,,0.00103335000881969,0.208674472336525,,0.0925263072665601,0.071252222996556,0.0212740842700041,0.0128818132133469,0.0126648776665115,0.00488897306957148,0.00627991105122073,0.0583704162966251,0.0177275842425329,0.0336596234424566,,,,,,
AFG2007,GFS,Afghanistan,AFG,6,1,2007,,,,,,,0.36640077661727,0.365468672148212,0.0824912572076866,0.0815591527386285,,,0.0617843015707786,0.0608521971017205,0,0.0617843015707786,0.0608521971017205,0.0149805728721973,0.0149805728721973,0.0140484684031392,0.0140484684031392,0.0137841378261734,0,0.0137841378261734,0.00475502637457748,0.0073425420180353,0,0.0073425420180353,0,0.000264330576965812,0.0468037329957196,0,0.0468037329957196,0.0154826606159136,,,0.0309362916525339,0.0309280810301875,0.00000818723026000304,0.000384780727272062,,,,0.000932104469058118,0.283909519409584,,0.0815591527386285,0.0608521971017205,0.020706955636908,0.0140484684031392,0.0137841378261734,0.00475502637457748,0.0073425420180353,0.0468037329957196,0.0154826606159136,0.0309362916525339,,,,,,
AFG2008,GFS,Afghanistan,AFG,6,1,2008,,,,,,,0.311316904633543,0.309863828455157,0.083457678996887,0.0820046028185017,,,0.0624694063291653,0.06101633015078,0,0.0624694063291653,0.06101633015078,0.0187152300732934,0.0187152300732934,0.0172621538949081,0.0172621538949081,0.0167773893787354,0,0.0167773893787354,0.00437872578061444,0.00887304375382844,0,0.00887304375382844,0,0.000484764516172666,0.0437542070630076,0,0.0437542070630076,0.0156310131804471,,,0.0276898566015277,0.027678088690245,0.0000117679112827023,0.000433337281032794,,,,0.0014530761783853,0.227859225636656,,0.0820046028185017,0.06101633015078,0.0209882726677217,0.0172621538949081,0.0167773893787354,0.00437872578061444,0.00887304375382844,0.0437542070630076,0.0156310131804471,0.0276898566015277,,,,,,
ALB1989,IMF Country Report,Albania,ALB,2,3,1989,,,1,,1,1,0.390811585392331,0.351730426853098,0.390811585392331,0.390811585392331,,,0.360415128750706,0.321333970211472,0,0.360415128750706,0.321333970211472,,,,,,,,,0.316991619262669,0,0.316991619262669,,,,,,,,,,,,,0.0347388075904295,,,0.0390811585392331,0,,0.390811585392331,0.321333970211472,0.0694776151808589,,,,0.316991619262669,,,,,,1,,1,1
ALB1990,IMF Country Report,Albania,ALB,2,3,1990,,,1,,1,1,0.381163755669208,0.332915179002219,0.381163755669208,0.381163755669208,,,0.342564894335617,0.294316317668629,0,0.342564894335617,0.294316317668629,,,,,,,,,0.294316317668629,0,0.294316317668629,,,,,,,,,,,,,0.0385988613335907,,,0.0482485766669883,0,,0.381163755669208,0.294316317668629,0.086847438000579,,,,0.294316317668629,,,,,,1,,1,1
ALB1991,IMF Country Report,Albania,ALB,2,3,1991,,,1,,1,1,0.257145682919592,0.187914152902779,0.232420136485016,0.163188606468203,,,0.217584808624271,0.148353278607457,0,0.217584808624271,0.148353278607457,,,,,,,,,0.143408169320542,0,0.143408169320542,,,,,,,,,,0.00494510928691524,,,0.0148353278607457,,,0.0692315300168134,0.0247255464345762,,0.163188606468203,0.148353278607457,0.0148353278607457,,,,0.143408169320542,,,,,,1,,1,1
ALB1992,IMF Country Report,Albania,ALB,2,3,1992,,,,,1,,,,0.182210234372619,0.156304288196032,,,0.133263234890738,0.107357288714151,0,0.133263234890738,0.107357288714151,0.050074670080156,0.050074670080156,0.0241687239035689,0.0241687239035689,0.0241687239035689,0,0.0241687239035689,0,0.0241687239035689,0,0.0241687239035689,,0,0.0831733260187132,0,0.0831733260187132,0.0553015756910792,0.0360397427691933,0.019261832921886,0.0229191429703453,,,0.00495260735728871,0.00416019018012252,,,0.0259059461765871,,,0.156304288196032,0.107357288714151,0.0489469994818811,0.0241687239035689,0.0241687239035689,0,0.0241687239035689,0.0831733260187132,0.0553015756910792,0.0229191429703453,,,,,1,
ALB1993,IMF Country Report,Albania,ALB,2,3,1993,,,,,1,,,,0.201729293138486,0.180967420427922,,,0.147145242502298,0.126383369791734,0,0.147145242502298,0.126383369791734,0.0504161435209754,0.0504161435209754,0.029654270810412,0.029654270810412,0.029654270810412,0,0.029654270810412,0,0.029654270810412,0,0.029654270810412,,0,0.0967290989813221,0,0.0967290989813221,0.0604411250760449,0.0323012801428997,0.0281398449331452,0.0235706796795112,,,0.0127172942257659,0.0256093298989088,,,0.0207618727105634,,,0.180967420427922,0.126383369791734,0.0545840506361883,0.029654270810412,0.029654270810412,0,0.029654270810412,0.0967290989813221,0.0604411250760449,0.0235706796795112,,,,,1,
ALB1994,IMF Country Report,Albania,ALB,2,3,1994,,,,,1,,,,0.189310307609282,0.16174851592013,,,0.155272531030761,0.127710739341608,0,0.155272531030761,0.127710739341608,0.0468688613059903,0.0468688613059903,0.0193070696168376,0.0193070696168376,,,,0.00246519158121964,0.0154085267134377,0,0.0154085267134377,,0.00143335132218025,0.10840798704803,0,0.10840798704803,0.0624025903939558,0.0214096060442526,0.0409929843497032,0.0270264436049649,,,0.0189789530491096,0.0159309228278467,,,0.0275617916891527,,,0.16174851592013,0.127710739341608,0.0340377765785213,0.0193070696168376,,0.00246519158121964,0.0154085267134377,0.10840798704803,0.0624025903939558,0.0270264436049649,,,,,1,
ALB1995,IMF Country Report,Albania,ALB,2,3,1995,,,,,1,,,,0.193877072227015,0.160508487423166,,,0.143216016920706,0.109847432116857,0,0.143216016920706,0.109847432116857,0.0494844021266382,0.0494844021266382,0.0161158173227892,0.0161158173227892,,,,0.0022847284132868,0.0120805466023237,0,0.0120805466023237,,0.00175054230717867,0.0937352241596495,0,0.0937352241596495,0.0577173650187507,0.0201655255055819,0.0375518395131688,0.0224899569402686,,,0.0135279022006302,0.0417531410503976,,,0.033368584803849,,,0.160508487423166,0.109847432116857,0.0506610553063088,0.0161158173227892,,0.0022847284132868,0.0120805466023237,0.0937352241596495,0.0577173650187507,0.0224899569402686,,,,,1,
