Identifier,MergeCode,Country,ISO,Reg,Inc,Source,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social contributions, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, and capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,.,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
ABW1980,0,Aruba,ABW,3,4,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1981,0,Aruba,ABW,3,4,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1982,0,Aruba,ABW,3,4,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1983,0,Aruba,ABW,3,4,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1984,0,Aruba,ABW,3,4,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1985,0,Aruba,ABW,3,4,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1986,0,Aruba,ABW,3,4,IMF Country Report,1986,,,,,,,26.70%,26.70%,26.00%,26.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70%,,26.00%,,,,,,,,,,,,,,,
ABW1987,0,Aruba,ABW,3,4,IMF Country Report,1987,,,,,,,31.10%,31.10%,30.29%,30.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81%,,30.29%,,,,,,,,,,,,,,,
ABW1988,0,Aruba,ABW,3,4,IMF Country Report,1988,,,,,,,22.60%,22.60%,22.02%,22.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58%,,22.02%,,,,,,,,,,,,,,,
ABW1989,0,Aruba,ABW,3,4,IMF Country Report,1989,,,,,,,22.10%,22.10%,21.61%,21.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48%,,21.61%,,,,,,,,,,,,,,,
ABW1990,0,Aruba,ABW,3,4,IMF Country Report,1990,,,,,,,26.67%,26.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1991,0,Aruba,ABW,3,4,IMF Country Report,1991,,,,,,,22.90%,22.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW1992,0,Aruba,ABW,3,4,IMF Country Report,1992,,,,,,,26.11%,26.11%,25.06%,25.06%,,,,19.70%,0.00%,,19.70%,,,11.01%,11.01%,9.04%,0.00%,9.04%,7.05%,2.00%,0.00%,2.00%,,0.59%,8.69%,0.00%,8.69%,4.15%,0.00%,4.15%,4.32%,3.70%,,0.84%,4.30%,,,0.00%,1.05%,,25.06%,19.70%,5.36%,11.01%,9.04%,7.05%,2.00%,8.69%,4.15%,4.32%,,,,,,
ABW1993,0,Aruba,ABW,3,4,IMF Country Report,1993,,,,,,,25.07%,25.07%,24.28%,24.28%,,,,20.72%,0.00%,,20.72%,,,11.41%,11.41%,9.28%,0.00%,9.28%,7.02%,2.26%,0.00%,2.26%,,0.73%,9.31%,0.00%,9.31%,3.95%,0.00%,3.95%,4.60%,4.00%,,1.36%,2.77%,,,0.00%,0.79%,,24.28%,20.72%,3.56%,11.41%,9.28%,7.02%,2.26%,9.31%,3.95%,4.60%,,,,,,
ABW1994,0,Aruba,ABW,3,4,IMF Country Report,1994,,,,,,,23.83%,23.83%,22.92%,22.92%,,,,19.76%,0.00%,,19.76%,,,10.46%,10.46%,8.63%,0.00%,8.63%,6.30%,2.33%,0.00%,2.33%,,0.54%,9.30%,0.00%,9.30%,3.89%,0.00%,3.89%,4.65%,4.01%,,0.75%,2.25%,,,0.00%,0.91%,,22.92%,19.76%,3.16%,10.46%,8.63%,6.30%,2.33%,9.30%,3.89%,4.65%,,,,,,
ABW1995,0,Aruba,ABW,3,4,IMF Country Report,1995,,,,,,,25.49%,25.49%,24.35%,24.35%,,,,19.40%,0.00%,,19.40%,,,10.94%,10.94%,8.93%,0.00%,8.93%,6.62%,2.31%,0.00%,2.31%,,0.75%,8.46%,0.00%,8.46%,3.99%,0.00%,3.99%,3.74%,3.28%,,0.73%,3.80%,,,0.00%,1.15%,,24.35%,19.40%,4.95%,10.94%,8.93%,6.62%,2.31%,8.46%,3.99%,3.74%,,,,,,
ABW1996,0,Aruba,ABW,3,4,IMF Country Report,1996,,,,,,,32.71%,26.13%,31.58%,24.98%,,,26.49%,19.90%,0.00%,26.49%,19.90%,17.81%,17.81%,11.23%,11.23%,9.04%,0.00%,9.04%,6.53%,2.51%,0.00%,2.51%,,0.78%,8.68%,0.00%,8.68%,3.74%,0.00%,3.74%,4.17%,3.53%,,0.77%,3.96%,,,6.59%,1.13%,,24.98%,19.90%,5.08%,11.23%,9.04%,6.53%,2.51%,8.68%,3.74%,4.17%,,,,,,
ABW1997,0,Aruba,ABW,3,4,IMF Country Report,1997,,,,,,,29.36%,22.89%,27.96%,21.49%,,,24.69%,18.22%,0.00%,24.69%,18.22%,16.81%,16.81%,10.34%,10.34%,8.45%,0.00%,8.45%,6.16%,2.29%,0.00%,2.29%,,0.73%,7.88%,0.00%,7.88%,3.48%,0.00%,3.48%,3.83%,3.21%,,0.58%,1.87%,,,6.47%,1.40%,,21.49%,18.22%,3.27%,10.34%,8.45%,6.16%,2.29%,7.88%,3.48%,3.83%,,,,,,
ABW1998,0,Aruba,ABW,3,4,IMF Country Report,1998,,,,,,,27.71%,21.69%,27.19%,21.16%,,,23.99%,17.96%,0.00%,23.99%,17.96%,16.45%,16.45%,10.43%,10.43%,8.44%,0.00%,8.44%,6.36%,2.08%,0.00%,2.08%,,0.85%,7.53%,0.00%,7.53%,3.32%,0.00%,3.32%,3.66%,2.98%,,0.56%,2.67%,,,6.02%,0.53%,,21.16%,17.96%,3.20%,10.43%,8.44%,6.36%,2.08%,7.53%,3.32%,3.66%,,,,,,
ABW1999,0,Aruba,ABW,3,4,IMF Country Report,1999,,,,,,,29.18%,22.75%,29.13%,22.70%,,,26.16%,19.74%,0.00%,26.16%,19.74%,18.50%,18.50%,12.07%,12.07%,10.02%,0.00%,10.02%,7.42%,2.60%,0.00%,2.60%,,0.86%,7.67%,0.00%,7.67%,3.26%,0.00%,3.26%,3.86%,3.16%,,0.54%,2.92%,,,6.43%,0.05%,,22.70%,19.74%,2.97%,12.07%,10.02%,7.42%,2.60%,7.67%,3.26%,3.86%,,,,,,
ABW2000,0,Aruba,ABW,3,4,IMF Country Report,2000,,,,,,,28.02%,22.31%,27.51%,21.80%,,,24.48%,18.77%,0.00%,24.48%,18.77%,16.87%,16.87%,11.15%,11.15%,9.30%,0.00%,9.30%,6.86%,2.45%,0.00%,2.45%,,0.73%,7.62%,0.00%,7.62%,3.20%,0.00%,3.20%,3.90%,3.19%,,0.52%,2.52%,,,5.71%,0.51%,,21.80%,18.77%,3.03%,11.15%,9.30%,6.86%,2.45%,7.62%,3.20%,3.90%,,,,,,
