Country Name,Indicator,Primary Value,Primary Value Description,Secondary Value,Secondary Value Description,WTO Membership,WTO Accession Date
Belgium,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Cyprus,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Eritrea,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,NA
Estonia,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,N 1999
Finland,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Greece,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Hungary,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,1 January 1995
"Iran, Islamic Republic of",All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,NA
Italy,All Products,NA,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Observer,J 1995
Luxembourg,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Poland,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Austria,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Bulgaria,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,Decemnnn 1996
Czech Republic,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Germany,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Denmark,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Spain,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
France,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
United Kingdom,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Croatia,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,Novv 2000
Ireland,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Lithuania,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,Mayy 2001
Latvia,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,Febb 1999
Netherlands,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Portugal,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Slovakia,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Slovenia,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
Sweden,All Products,NA,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,J 1995
