Country Name,Indicator,Primary Value,Primary Value Description,Secondary Value,Secondary Value Description,WTO Membership,WTO Accession Date
Afghanistan,All Products,5.89,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Observer,
Albania,All Products,3.78,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,8 September 2000
Algeria,All Products,18.79,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Angola,All Products,11.42,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,23 November 1996
Antigua and Barbuda,All Products,9.90,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Argentina,All Products,13.64,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Armenia,All Products,3.69,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,5 February 2003
Australia,All Products,2.72,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Azerbaijan,All Products,9.05,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Bahamas,All Products,35.13,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
"Bahrain, Kingdom of",All Products,4.69,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Bangladesh,All Products,13.92,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Barbados,All Products,10.70,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Belarus,All Products,8.42,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Belize,All Products,11.60,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Benin,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,22 February 1996
Bolivarian Republic of Venezuela,All Products,12.86,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
"Bolivia, Plurinational State of",All Products,11.63,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,12 September 1995
Bosnia and Herzegovina,All Products,6.43,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Botswana,All Products,7.58,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Brazil,All Products,13.54,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Brunei Darussalam,All Products,1.16,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Burkina Faso,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,3 June 1995
Burundi,All Products,12.75,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,23 July 1995
Cambodia,All Products,11.23,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,13 October 2004
Cameroon,All Products,18.24,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,13 December 1995
Canada,All Products,4.17,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Cabo Verde,All Products,10.08,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,23 July 2008
Central African Republic,All Products,18.01,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,31 May 1995
Chad,All Products,18.01,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,19 October 1996
Chile,All Products,5.98,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
China,All Products,9.55,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,11 December 2001
Colombia,All Products,5.84,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,30 April 1995
Comoros,All Products,15.35,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Congo,All Products,18.09,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,27 March 1997
Cook Islands,All Products,3.28,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,,
Costa Rica,All Products,5.58,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Côte d'Ivoire,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Cuba,All Products,10.60,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,20 April 1995
Democratic Republic of the Congo,All Products,10.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1997
Djibouti,All Products,20.86,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Dominica,All Products,9.96,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Dominican Republic,All Products,7.33,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,9 March 1995
Ecuador,All Products,11.94,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,21 January 1996
Egypt,All Products,16.77,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,30 June 1995
El Salvador,All Products,6.01,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,7 May 1995
European Union (28),All Products,5.31,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Fiji,All Products,11.59,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,14 January 1996
Former Yugoslav Republic of Macedonia,All Products,6.87,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,4 April 2003
Gabon,All Products,17.69,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Gambia,All Products,14.09,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,23 October 1996
Georgia,All Products,1.52,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,14 June 2000
Ghana,All Products,12.94,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Grenada,All Products,10.41,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,22 February 1996
Guatemala,All Products,5.60,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,21 July 1995
Guinea-Bissau,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Guyana,All Products,11.17,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Haiti,All Products,4.76,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,30 January 1996
Honduras,All Products,5.72,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
"Hong Kong, China",All Products,0.00,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Iceland,All Products,5.26,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
India,All Products,13.48,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Indonesia,All Products,6.85,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Israel,All Products,4.56,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,21 April 1995
